ID,sex,Language,Name,Script,Family,Autotyp_Area,trial,Condition,match
DE_2017558,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2017828,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2017828,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2018342,M,DE,German,roman,IE,Europe,1,l,TRUE
DE_2018342,M,DE,German,roman,IE,Europe,2,r,TRUE
DE_2018651,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2018651,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2019007,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2019007,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2019115,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2019115,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2019961,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2019961,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2020666,F,DE,German,roman,IE,Europe,1,r,FALSE
DE_2020666,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2020772,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2020772,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2020887,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2020887,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2021088,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2021088,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2021203,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2021203,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2021892,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2021892,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2021951,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
DE_2021951,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
DE_2022038,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2022038,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2022372,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2022372,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2024982,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2024982,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2025088,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2025088,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2025321,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2025321,F,DE,German,roman,IE,Europe,2,r,FALSE
DE_2026290,M,DE,German,roman,IE,Europe,1,r,TRUE
